,scoring,market,purchasing_date,review_title,review_content
1,100점,롯데하이마트,2024.09.25.,"
카메라버튼만 불편하고, 나머지는
","카메라버튼만 불편하고, 나머지는 만족해요"
2,100점,롯데하이마트,2024.09.24.,"
온오프라인으로 모두 봤지만 직접
",온오프라인으로 모두 봤지만 직접 받아보니 더욱 이쁘네요.  오프라인매장은 조명이 밝아 조금 다른 느낌이였어요.  아이폰12미니 사진입니다.  ㅎㅎ
3,80점,11번가,2024.11.21.,"
좋아요
",배송엄청빠르네요!! 오랜만에 배터리 성능100%쓰니까 삶의질 향상입니다
4,100점,롯데하이마트,2024.09.26.,"
오랜만에 출시한 화이트라 바로
",오랜만에 출시한 화이트라 바로 구매했습니다. 화이트 덕후분들은 후회 없을겁니다~접사 기능도 잘쓰고있어요. 60 Hz 만 빼면 정말 좋은 제품입니다.
5,100점,11번가,2024.10.15.,"
최고예요
","슈팅배송으로 11번가에서 사전예약했고, 경기권 20일 낮12시에 도착했습니다! 빠르고 안전하게 도착해서 만족하고 큰 불량없이 받을 수 있어서 좋았습니다!https://m.blog.naver.com/sori-bada/223590573699자세한 후기 및 동영상은 블로그 참고해주세요!"
6,100점,11번가,2024.10.24.,"
최고예요
",12프로 쓰다가 넘어왔는데 카메라가 확실히 좋네요..틸/울트라마린/화이트 고민했는데 화이트 색상 질리지 않고 볼수록 예뻐요잘쓰겠습니다~!
7,100점,11번가,2024.10.19.,"
최고예요
",아이폰13미니 배터리상태이슈로 인해 바꿈 ㅎ
8,100점,11번가,2024.09.30.,"
최고예요
",어 예뻐요 ♡♡ 생각보다 실물이 예쁘네요!! 마음에 듭니다!!! 화질도 좋고 추천해요
9,100점,롯데하이마트,2024.09.23.,"
배송은 예정일인 토요일보다 조금
",배송은 예정일인 토요일보다 조금 늦은 월요일에 도착했지만 다른 곳 보다는 빨리 온 것 같아요 디자인도 마음에 들고 좋아요
0,100점,11번가,2024.10.15.,"
최고예요
",성능은 더 써봐야 알겠지만 아직까지는 만족합니다
1,100점,11번가,2024.10.14.,"
최고예요
",꼼꼼하게 포장되어서 왔고 스크래치도 없었습니다 ㅎㅎ 예상보다 빨리 폰이와서 좋아요
2,100점,11번가,2024.09.30.,"
최고예요
","딸아이 최애 휴대폰 아이폰배송 많이 늦을줄알았는데 빨리 도착했구좋아요11번가 신한카드로 40,600 p적립금이 있어서 여기가 최저가네요"
3,100점,롯데하이마트,2024.10.12.,"
카메라가 조금 커진 거 같고 화이
",카메라가 조금 커진 거 같고 화이트 색상은 전보다 훨씬 화이트 같은 색상으로 바뀌었습니다
4,100점,롯데하이마트,2024.09.24.,"
생각보다 빠르게 배송되어 잘 받
",생각보다 빠르게 배송되어 잘 받았습니다. 생각보다 크기가 좀 더 크다 싶었지만 만족스럽게 잘 사용하고 있어요.
5,100점,11번가,2025.01.22.,"
최고예요
",작은아이 초등학교 졸업 선물로 구매했습니다. 아이가 좋아하내요 . 가격은 비싸지만 오래 사용하기
6,100점,롯데하이마트,2024.09.25.,"
아직 필름 케이스가안와서 개봉
",아직 필름 케이스가안와서 개봉전입니다맘에 듭니다 ^^*
7,100점,11번가,2024.10.01.,"
최고예요
",아이폰16으로 큰맘 먹고 넘어왔는데 화이트 넘 예쁘네요진짜 찐 화이트고 도화지같아요ㅜㅜㅎ너무너무 만족합니다아
8,100점,11번가,2024.10.09.,"
최고예요
",10월15일 입고예정이라고 되어있어서 다음주에나 오겠구나 생각하고 있었는데 한글날 전날 택배와있어서 깜짝놀랬네요 덕분에 쉬는날 마이그레이션도하고 새폰 세팅도 완료했습니다 뽁뽁이에 감싸서 안전하게 왔구요 빨리 보내주셔서 감사해요
